_country,appVersion,at,content,repliedAt,replyContent,reviewCreatedVersion,reviewId,score,thumbsUpCount,userImage,userName
in,4.113.1,2026-08-03 11:14:29,good,2026-08-03 11:22:49,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",4.113.1,eba7e2a3-b490-42fa-a195-0ab4977099cb,5,0,https://play-lh.googleusercontent.com/a/ACg8ocKZBsl0nBo23a7BRWuePQpz8kEz4eLxzWRadDyiWUNyIQU_Tw=mo,Nand Kishore
in,4.113.1,2026-08-03 11:06:35,nice,2026-08-03 11:12:41,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",4.113.1,338c0161-a3eb-4649-9031-a3048689b8f7,5,0,https://play-lh.googleusercontent.com/a-/ALV-UjXP3RXG1RTiFyBWgpHR1gfSLHc48QZybVfeGmVrEicOFRp-jbIK,Dheena yogesh Dheena yogesh
in,4.113.1,2026-08-03 11:02:52,ok,2026-08-03 11:12:35,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",4.113.1,51034e5f-02c6-43db-8b27-590c10a7692a,5,0,https://play-lh.googleusercontent.com/a/ACg8ocKxwf9x5RJwx5C00_4FptsfQj3LnpdlTuaeObyUmTD_h0gacw=mo,Akshay Kumar Bindhani
in,4.113.1,2026-08-03 11:00:24,nice,2026-08-03 11:02:32,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",4.113.1,5f7fe3f9-cb57-4d44-bb75-299eb07f7370,5,0,https://play-lh.googleusercontent.com/a/ACg8ocKmxQdxCa2mQA2WfXMYzfgFLb580Ag1x2iHv_CKtMgSTWh6Tg=mo,Sipun Sahu
in,4.113.1,2026-08-03 10:48:44,good,2026-08-03 10:52:38,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,4.113.1,0be305eb-2bde-46bf-974c-439dbb283618,5,0,https://play-lh.googleusercontent.com/a/ACg8ocJT91FwygD7vN2BRAhFNN0s-WMtmd98LJov8T1Zv_J1it4QIQ=mo,Omkar
in,4.113.1,2026-08-03 10:46:33,they give the delivery in time without delay,2026-08-03 10:52:36,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,4.113.1,f35bb1db-3c79-471e-b280-94d955e92aa5,5,0,https://play-lh.googleusercontent.com/a-/ALV-UjWgt3_FKnYodcXn5IEhf4cZ4QkM-b5l55AeVWAbD_953VBGMqQo,Shyamala Bharathi
in,4.113.1,2026-08-03 10:44:50,good app best from all and sell high quality products at cheapest price,2026-08-03 10:52:38,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",4.113.1,25de837f-a096-4975-a10e-a58d1023a0bd,5,0,https://play-lh.googleusercontent.com/a/ACg8ocLEDJ1qCqjApqHyY15-z3R3zVTZq5MDvQt_UZ_nEFn5ICflvQ=mo,Radhay Varun
in,4.113.1,2026-08-03 10:42:47,very bad experience app Ne claim kiya tha ki aapka order 22 minut mein pahunch jaega per 25 minut Tak to rider nahin uthai nahin order hi nahin uthaya very a bad experience,2026-08-03 10:52:37,"Hey there, we are sorry to have put you through such a situation. We would like to make amends and request you to kindly share the order ID along with the details of your concern at swiggysocial@swiggy.in and we will do what it takes to turn this around!",4.113.1,e7b2aa62-9b19-4f48-96f6-b50029a55646,1,0,https://play-lh.googleusercontent.com/a/ACg8ocKjI6h1UN0tfjnC9XBfaRGz51nikS6825O6uqwBZbjibedXng=mo,gaurav thapar
in,4.113.1,2026-08-03 10:37:55,when I select my order and add to Cart after they were not show the screen for payment and all,2026-08-03 10:42:36,"Hi, we are sorry about the below-par experience with your order. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",4.113.1,5b252c7f-21da-450b-beb5-58b5e9894f41,1,0,https://play-lh.googleusercontent.com/a/ACg8ocJmBPUJ2BOC63lIt4lhDyvgiUwPGBtcKJfMVd5Sw1UhWvQ35A=mo,Kashish Chetwani
in,4.113.1,2026-08-03 10:37:04,best,2026-08-03 10:42:36,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,4.113.1,67b66596-6bae-4ec6-8d78-e80ac5d7c90c,5,0,https://play-lh.googleusercontent.com/a/ACg8ocLjnAPCT5b9IUxeTvoHGUiQCn3f1rVHKDCmHf5M2uq2MnG5mXQ=mo,Vishal Sah
in,4.113.1,2026-08-03 10:36:18,good,2026-08-03 10:42:35,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",4.113.1,21d39dea-3400-4f11-80b1-12a259a0b7e2,5,0,https://play-lh.googleusercontent.com/a-/ALV-UjU1QRi2HFOWrMWevw-_HUjqWi0AO3cx8NqXp44TfXqdZgJOJNkm,ANSIYA JABIREHAN
in,,2026-08-03 10:25:28,this is not fare yr app logo ko chote chote shehro me bhi smaan diliver Krna chahiye pls I heartily request you mra pind kotla bamma aliwal road hai batala shehro hi lgta hai so pls mujhe apne baby k liye smaan mgvna pdta hai,2026-08-03 10:32:37,"Hello, we are sorry for the trouble you have been through. Please drop an email at swiggysocial@swiggy.in along with order ID and we will help you sort this out.",,76c7f446-02b4-4547-ba71-014dd32adb9a,3,0,https://play-lh.googleusercontent.com/a/ACg8ocIyKEnzQ9wAdoEnQiKlrhFupVxubnBOJe85k6wXEp6L7wRZPg=mo,Jasmin Gill
in,4.113.1,2026-08-03 10:04:06,very good,2026-08-03 10:12:43,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",4.113.1,ee86e5b0-986a-4646-b3ed-e5099b6af8ae,5,0,https://play-lh.googleusercontent.com/a-/ALV-UjUUQ510NdnGfWy_XSSxSPdvTmFLZDS21ho4Z3hptCrGX5BI-reg,Rakesh Kumar
in,,2026-08-03 10:00:20,very good,2026-08-03 10:02:35,We are happy to hear such positive feedback. 🙂,,52006bf2-9285-4c85-a7ac-ee2cbb2f494d,5,0,https://play-lh.googleusercontent.com/a-/ALV-UjVF3YstaJa7qu094roCTLuaoP6lWYPXrJfw5eWqKh7muhtP8Jpo,ThangKhanKim David. Kimsan
in,4.113.1,2026-08-03 09:56:41,fresh vegetable always,2026-08-03 10:02:36,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",4.113.1,d9bf7012-2d62-4771-922e-269fc90c7aa8,5,0,https://play-lh.googleusercontent.com/a-/ALV-UjUCrqsVas1L6kWHdDd0PjBqfR7_4oMggeJThlvWVGgW4xRssdOjsQ,rakhee mehta
in,4.113.1,2026-08-03 09:55:06,good,2026-08-03 10:02:35,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,4.113.1,5351e263-e149-4c44-bb02-dd23a83b84ce,5,0,https://play-lh.googleusercontent.com/a-/ALV-UjW2BGsNYWz3FQrVWMx-UT0dxAeD7jV5ngznAM4J4GjeQGPYsN0v,TUHIN BAIRAGI
in,4.113.1,2026-08-03 09:50:46,good,2026-08-03 09:52:42,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",4.113.1,301cf449-3cee-4156-8746-c202e311ef8e,5,0,https://play-lh.googleusercontent.com/a-/ALV-UjVGSpFPEkrWpGPHd_UklpAlqdKPsLN8YHK1dz9Drc-YQZH9OLPDjQ,vaditya sivanaik
